"","Oil","Density","Crispy","Fracture","Hardness","Taste"
"B110",16.5,2955,10,23,97,"fair"
"B136",17.7,2660,14,9,139,"fair"
"B171",16.2,2870,12,17,143,"excellent"
"B192",16.7,2920,10,31,95,"poor"
"B225",16.3,2975,11,26,143,"fair"
"B237",19.1,2790,13,16,189,"good"
"B261",18.4,2750,13,17,114,"poor"
"B264",17.5,2770,10,26,63,"excellent"
"B353",15.7,2955,11,23,123,"poor"
"B360",16.4,2945,11,24,132,"excellent"
"B366",18,2830,12,15,121,"excellent"
"B377",17.4,2835,12,18,172,"good"
"B391",18.4,2860,14,11,170,"excellent"
"B397",13.9,2965,12,19,169,"poor"
"B404",15.8,2930,9,26,65,"excellent"
"B437",16.4,2770,15,16,183,"good"
"B445",18.9,2650,14,20,114,"fair"
"B462",17.3,2890,12,17,142,"fair"
"B485",16.7,2695,13,13,111,"poor"
"B488",19.1,2755,14,10,140,"poor"
"B502",13.7,3000,10,27,177,"excellent"
"B554",14.7,2980,10,20,133,"fair"
"B556",18.1,2780,13,14,150,"poor"
"B575",17.2,2705,8,27,113,"excellent"
"B576",18.7,2825,13,20,166,"good"
"B605",18.1,2875,12,15,150,"excellent"
"B612",16.6,2945,10,25,100,"good"
"B615",17.1,2920,10,25,123,"poor"
"B649",17.4,2845,13,19,129,"excellent"
"B665",19.4,2645,12,18,68,"good"
"B674",15.9,3080,10,23,106,"good"
"B692",17.1,2825,10,28,131,"excellent"
"B694",15.5,3125,7,33,92,"good"
"B719",17.7,2780,13,22,141,"excellent"
"B727",15.9,2900,12,21,192,"poor"
"B758",21.2,2570,14,13,105,"poor"
"B776",19.5,2635,13,22,101,"good"
"B799",20.5,2725,14,16,145,"poor"
"B836",17,2865,11,22,100,"poor"
"B848",16.7,2975,10,26,105,"good"
"B861",16.8,2980,10,24,144,"poor"
"B869",16.8,2870,12,20,123,"good"
"B876",16.3,2920,11,22,136,"fair"
"B882",16.2,3100,8,27,140,"poor"
"B889",18.1,2910,12,21,120,"good"
"B907",16.6,2865,11,25,120,"poor"
"B911",16.4,2995,12,20,165,"fair"
"B923",15.1,2925,10,29,118,"good"
"B971",21.1,2700,13,16,116,"excellent"
"B998",16.3,2845,10,26,75,"excellent"
